mandarin,pinyin_tones,pinyin_no_tones,tones,definition,learning_aid,example,difficulty,time_added
今天,jīntiān,jintian,1-1,today,today/this(ren+line7)+day,今天是星期二,1,1666373235
明天,míngtiān,mingtian,2-1,tomorrow,bright+day (like tomorrow morning is bright),明天见,1,1666373235
后天,hòutiān,houtian,4-1,the day after tomorrow,Fmouth+day,后天是星期三,1,1666373235
年,nián,nian,1,year,kinda like wang 王 with some extras,今年,1,1694640011
今年,jīnnián,jinnian,2-1,this year,jintian - tian + year,今年是2023年,2,1694640011
明年,míngnián,mingnian,1-1,next year,bright + year,名年是2023年,2,1694809620
number + 月,number + yuè,how are months formed,月 is 1st tone,i ask politely,the larger of the two in 明,一月/三月,1,1694809620
